BASIC5000_0001|64 27 80 63 77 85 24 3 12 74 12 79 43 16 39 48 43 74 43 5 47 40 26 1
BASIC5000_0002|67 16 73 7 52 0 39 5 28 81 12 5 33 81 48 0 43 81 47 24 81 39 81 67 43 5 63 63 24 70 7 75 72 7 24 63 24 32 1
BASIC5000_0003|25 72 7 5 81 15 5 81 48 79 32 24 13 40 85 32 80 71 13 66 32 41 20 16 48 37 24 32 1
BASIC5000_0004|5 34 24 70 7 12 81 24 39 0 30 47 44 70 85 26 48 60 81 41 7 44 43 36 32 1
BASIC5000_0005|18 37 3 37 48 0 18 81 20 7 47 50 78 66 85 32 85 41 24 39 25 70 7 73 7 40 3 76 1
BASIC5000_0006|24 70 7 44 24 12 5 0 54 74 81 26 47 25 70 15 72 7 13 3 75 63 26 1
BASIC5000_0007|14 72 12 24 72 13 43 18 77 49 20 20 57 48 5 77 43 5 1
BASIC5000_0008|11 11 21 9 40 43 14 43 13 74 0 11 81 43 47 20 48 48 48 11 69 80 22 13 24 39 5 32 1
BASIC5000_0009|65 23 5 47 51 41 52 41 48 0 67 34 78 81 60 7 66 81 22 77 32 1
BASIC5000_0010|63 36 14 24 18 81 44 30 43 9 39 0 60 81 41 7 44 14 3 5 80 5 77 39 58 81 14 72 7 24 43 14 68 1
BASIC5000_0011|14 30 12 79 48 0 24 49 24 49 44 36 62 81 47 74 5 81 12 79 41 73 49 77 39 5 76 1
BASIC5000_0012|11 61 77 12 12 36 39 5 32 25 72 7 14 68 16 48 0 26 58 39 14 70 7 25 72 22 77 32 1
BASIC5000_0013|34 70 7 24 81 55 44 3 76 47 40 0 24 72 7 39 81 69 0 11 54 4 26 44 5 16 47 44 58 81 75 40 26 1
BASIC5000_0014|23 81 20 16 41 5 7 20 41 48 0 12 47 28 5 24 37 44 48 43 5 20 41 33 1
BASIC5000_0015|39 5 9 81 47 63 79 75 44 0 17 76 75 41 32 12 5 57 5 13 32 36 39 5 76 1
BASIC5000_0016|24 70 36 28 5 75 37 41 24 61 7 75 37 48 0 60 61 51 41 24 12 36 32 1
BASIC5000_0017|29 36 32 5 44 30 47 26 5 36 34 44 22 79 36 39 48 5 18 43 5 1
BASIC5000_0018|57 69 80 40 76 41 14 44 48 0 3 12 75 80 18 24 43 22 5 1
BASIC5000_0019|24 8 85 16 26 53 3 47 22 16 51 81 48 0 41 39 67 65 27 12 24 16 39 73 66 43 5 1
BASIC5000_0020|65 12 24 0 65 12 24 0 5 34 44 81 47 78 7 25 81 13 26 81 40 5 32 1
BASIC5000_0021|51 78 7 69 74 0 7 9 69 74 40 0 12 77 48 66 63 5 80 12 81 25 32 1
BASIC5000_0022|65 24 78 78 81 18 47 60 7 13 48 19 69 26 5 36 39 14 5 32 31 1
BASIC5000_0023|65 20 7 44 32 36 39 5 76 11 81 43 47 20 48 0 66 3 75 85 40 26 1
BASIC5000_0024|24 26 39 4 43 77 5 48 5 42 7 48 0 28 81 73 81 51 68 16 43 43 25 70 7 22 81 46 81 44 0 49 39 4 12 81 14 70 7 40 81 43 5 44 20 81 75 70 7 22 77 32 0 30 7 33 5 43 77 5 48 5 42 7 40 26 1
BASIC5000_0025|39 44 26 44 67 3 76 18 42 0 73 81 33 5 32 5 12 5 36 39 43 44 1
BASIC5000_0026|22 16 75 68 16 48 5 54 16 80 51 37 73 7 41 26 76 13 0 24 81 25 37 48 48 33 12 40 3 76 20 41 80 20 47 65 1
BASIC5000_0027|20 5 20 85 51 85 73 75 0 7 26 5 20 85 51 85 47 60 7 13 26 14 40 26 1
BASIC5000_0028|13 5 20 7 12 81 44 48 0 22 63 22 63 43 41 36 18 81 13 3 32 9 74 77 39 5 76 1
BASIC5000_0029|22 24 14 27 48 41 39 67 54 12 16 0 12 81 28 81 47 11 30 77 13 43 5 12 18 81 22 26 76 51 37 73 7 13 3 76 1
BASIC5000_0030|13 5 25 81 13 44 60 81 24 72 16 44 43 77 76 20 41 48 65 27 12 24 5 1
BASIC5000_0031|21 47 54 76 5 5 64 13 0 19 81 23 5 47 14 60 81 39 14 43 5 64 40 3 76 41 48 12 15 74 43 5 1
BASIC5000_0032|48 75 13 46 48 0 40 81 14 80 37 32 9 76 47 44 67 34 5 74 77 76 1
BASIC5000_0033|74 5 19 37 47 12 55 14 23 47 33 24 67 47 48 43 81 40 26 12 1
BASIC5000_0034|3 36 24 70 16 24 32 54 2 5 76 80 39 81 56 40 11 16 36 39 16 33 22 5 1
BASIC5000_0035|73 7 24 32 81 77 5 0 27 47 7 66 5 28 14 0 7 81 42 7 24 81 18 5 49 37 17 81 0 5 9 48 12 46 67 34 40 0 37 5 40 44 13 16 28 5 12 5 47 54 16 12 5 34 72 7 80 24 39 32 75 67 26 76 0 5 79 71 76 0 50 85 54 8 16 41 43 69 37 33 1
BASIC5000_0036|44 70 7 5 81 12 81 25 68 48 0 5 24 68 44 63 26 5 80 34 70 7 24 68 22 77 39 0 26 17 44 46 65 75 44 11 34 32 1
BASIC5000_0037|48 32 66 69 37 66 41 5 7 20 41 49 13 3 76 73 7 44 5 34 42 14 72 7 12 5 12 74 48 43 77 39 0 44 36 62 81 22 36 12 85 80 64 39 5 32 33 14 32 5 1
BASIC5000_0038|15 72 7 15 47 79 76 22 48 0 12 47 75 72 7 24 14 80 7 32 13 79 28 76 67 47 33 1
BASIC5000_0039|55 34 72 7 47 37 21 7 13 79 76 16 43 36 39 24 63 36 32 47 40 0 47 64 12 5 47 44 36 39 5 48 24 14 75 43 11 24 33 46 1
BASIC5000_0040|57 52 80 64 32 41 14 0 12 77 48 51 66 5 80 3 19 32 1
BASIC5000_0041|24 13 5 28 81 48 0 51 54 13 81 80 51 14 11 20 26 20 41 13 3 76 1
BASIC5000_0042|14 13 37 16 41 0 44 19 49 48 42 20 44 67 43 12 36 32 1
BASIC5000_0043|22 81 49 81 66 47 0 30 24 39 67 36 41 67 25 70 7 73 7 43 12 81 13 9 48 0 22 5 44 70 7 41 5 7 20 41 40 3 76 1
